loan_reference,borrower_nrc,loan_product_name,amount,custom_interest_rate,application_date,loan_purpose,branch_name,loan_status,approval_date,amount_type,monthly_amount
JUTEM-01940,1000547/00/1,Business Micro Loan,260000,30.0,2023-02-01,Business,Lusaka,5,2023-02-01,,260000
JUTEM-01941,1000548/00/1,Business Micro Loan,80000,37.0,2021-11-01,Business,Lusaka,6,2021-11-01,,80000
JUTEM-01942,1000549/00/1,Business Micro Loan,100000,15.0,2021-10-01,Business,Lusaka,6,2021-10-01,,100000
JUTEM-01943,1000549/00/1,Business Micro Loan,80000,25.0,2021-11-01,Business,Lusaka,6,2021-11-01,,80000
JUTEM-01944,1000550/00/1,Business Micro Loan,25000,25.0,2024-02-01,Business,Lusaka,6,2024-02-01,,25000
JUTEM-01945,1000550/00/1,Business Micro Loan,26250,25.0,2024-03-01,Business,Lusaka,6,2024-03-01,,26250
JUTEM-01946,1000550/00/1,Business Micro Loan,9813,21.99,2025-04-01,Business,Lusaka,6,2025-04-01,,9813
JUTEM-01947,1000551/00/1,Business Micro Loan,2500,25.0,2024-01-01,Business,Lusaka,6,2024-01-01,,2500
JUTEM-01948,1000551/00/1,Business Micro Loan,5000,25.0,2024-02-01,Business,Lusaka,6,2024-02-01,,5000
JUTEM-01949,1000551/00/1,Business Micro Loan,8000,32.0,2024-09-01,Business,Lusaka,6,2024-09-01,,4000
JUTEM-01950,1000551/00/1,Business Micro Loan,9000,31.0,2024-11-01,Business,Lusaka,6,2024-11-01,,4500
JUTEM-01951,1000551/00/1,Business Micro Loan,12000,42.0,2025-01-01,Business,Lusaka,6,2025-01-01,,4000
JUTEM-01952,1000551/00/1,Business Micro Loan,8720,16.0,2025-04-01,Business,Lusaka,6,2025-04-01,,8720
JUTEM-01953,1000552/00/1,Business Micro Loan,2500,20.0,2025-06-01,Business,Lusaka,6,2025-06-01,,2500
JUTEM-01954,1000552/00/1,Business Micro Loan,5000,19.0,2025-07-01,Business,Lusaka,6,2025-07-01,,5000
JUTEM-01955,1000553/00/1,Business Micro Loan,12000,23.0,2024-02-01,Business,Lusaka,6,2024-02-01,,2000
JUTEM-01956,1000554/00/1,Business Micro Loan,2000,20.0,2024-08-01,Business,Lusaka,6,2024-08-01,,2000
JUTEM-01957,1000555/00/1,Business Micro Loan,6000,20.0,2024-11-01,Business,Lusaka,6,2024-11-01,,2000
JUTEM-01958,1000555/00/1,Business Micro Loan,12500,15.0,2025-03-01,Business,Lusaka,6,2025-03-01,,2500
JUTEM-01959,1000556/00/1,Business Micro Loan,10000,20.0,2026-01-01,Business,Lusaka,6,2026-01-01,,10000
JUTEM-01960,1000556/00/1,Business Micro Loan,20000,43.0,2026-02-01,Business,Lusaka,5,2026-02-01,,5000
JUTEM-01961,1000557/00/1,Business Micro Loan,12000,25.0,2022-06-01,Business,Lusaka,6,2022-06-01,,12000
JUTEM-01962,1000557/00/1,Business Micro Loan,25000,25.0,2023-02-01,Business,Lusaka,6,2023-02-01,,25000
JUTEM-01963,1000557/00/1,Business Micro Loan,25000,25.0,2023-04-01,Business,Lusaka,6,2023-04-01,,25000
JUTEM-01964,1000557/00/1,Business Micro Loan,43750,10.0,2023-10-01,Business,Lusaka,6,2023-10-01,,43750
JUTEM-01965,1000558/00/1,Business Micro Loan,114000,15.0,2025-05-01,Business,Lusaka,6,2025-05-01,,114000
JUTEM-01966,1000558/00/1,Business Micro Loan,36000,20.0,2025-07-01,Business,Lusaka,6,2025-07-01,,36000
JUTEM-01967,1000558/00/1,Business Micro Loan,120000,19.0,2025-08-01,Business,Lusaka,6,2025-08-01,,120000
JUTEM-01968,1000558/00/1,Business Micro Loan,47000,20.0,2025-09-01,Business,Lusaka,6,2025-09-01,,47000
JUTEM-01969,1000558/00/1,Business Micro Loan,180450,20.5,2025-09-01,Business,Lusaka,6,2025-09-01,,180450
JUTEM-01970,1000558/00/1,Business Micro Loan,217442,17.5,2025-10-01,Business,Lusaka,6,2025-10-01,,217442
JUTEM-01971,1000558/00/1,Business Micro Loan,650000,23.0,2025-12-01,Business,Lusaka,6,2025-12-01,,650000
JUTEM-01972,1000558/00/1,Business Micro Loan,292220,12.0,2026-02-01,Business,Lusaka,5,2026-02-01,,292220
JUTEM-01973,1000558/00/1,Business Micro Loan,250000,18.0,2026-02-01,Business,Lusaka,5,2026-02-01,,250000
JUTEM-01974,1000559/00/1,Business Micro Loan,16000,10.0,2023-08-01,Business,Lusaka,6,2023-08-01,,16000
JUTEM-01975,1000559/00/1,Business Micro Loan,6000,25,2024-05-01,Business,Lusaka,6,2024-05-01,,6000
JUTEM-01976,1000559/00/1,Business Micro Loan,5000,17.0,2024-12-01,Business,Lusaka,6,2024-12-01,,5000
JUTEM-01977,1000560/00/1,Business Micro Loan,4000,15.0,2025-01-01,Business,Lusaka,6,2025-01-01,,4000
JUTEM-01978,1000560/00/1,Business Micro Loan,40000,12.5,2025-02-01,Business,Lusaka,6,2025-02-01,,20000
JUTEM-01979,1000560/00/1,Business Micro Loan,12000,13.0,2025-05-01,Business,Lusaka,6,2025-05-01,,12000
JUTEM-01980,1000561/00/1,Business Micro Loan,14500,15.0,2022-04-01,Business,Lusaka,6,2022-04-01,,14500
JUTEM-01981,1000562/00/1,Business Micro Loan,5000,35.0,2023-09-01,Business,Lusaka,5,2023-09-01,,5000
JUTEM-01982,1000563/00/1,Business Micro Loan,20000,22.0,2024-01-01,Business,Lusaka,6,2024-01-01,,5000
JUTEM-01983,1000563/00/1,Business Micro Loan,10000,23.0,2024-03-01,Business,Lusaka,6,2024-03-01,,10000
JUTEM-01984,1000563/00/1,Business Micro Loan,5000,23.0,2024-04-01,Business,Lusaka,6,2024-04-01,,5000
JUTEM-01985,1000563/00/1,Business Micro Loan,5000,23.0,2024-05-01,Business,Lusaka,6,2024-05-01,,5000
JUTEM-01986,1000563/00/1,Business Micro Loan,3000,23.0,2024-06-01,Business,Lusaka,6,2024-06-01,,3000
JUTEM-01987,1000563/00/1,Business Micro Loan,3000,23.0,2024-07-01,Business,Lusaka,6,2024-07-01,,3000
JUTEM-01988,1000563/00/1,Business Micro Loan,10000,20.0,2024-11-01,Business,Lusaka,6,2024-11-01,,10000
JUTEM-01989,1000563/00/1,Business Micro Loan,12000,21.0,2025-02-01,Business,Lusaka,6,2025-02-01,,12000
JUTEM-01990,1000563/00/1,Business Micro Loan,12500,21.0,2025-03-01,Business,Lusaka,6,2025-03-01,,12500
JUTEM-01991,1000564/00/1,Business Micro Loan,15000,23.0,2024-09-01,Business,Lusaka,6,2024-09-01,,5000
JUTEM-01992,1000564/00/1,Business Micro Loan,30000,20.0,2024-12-01,Business,Lusaka,6,2024-12-01,,10000
JUTEM-01993,1000564/00/1,Business Micro Loan,10000,21.0,2025-05-01,Business,Lusaka,6,2025-05-01,,10000
JUTEM-01994,1000564/00/1,Business Micro Loan,11500,21.0,2025-06-01,Business,Lusaka,6,2025-06-01,,11500
JUTEM-01995,1000564/00/1,Business Micro Loan,22000,20.0,2025-07-01,Business,Lusaka,6,2025-07-01,,11000
JUTEM-01996,1000564/00/1,Business Micro Loan,6000,22.0,2025-08-01,Business,Lusaka,6,2025-08-01,,6000
JUTEM-01997,1000564/00/1,Business Micro Loan,7090,20.0,2025-09-01,Business,Lusaka,6,2025-09-01,,7090
JUTEM-01998,1000564/00/1,Business Micro Loan,8500,19.0,2025-10-01,Business,Lusaka,6,2025-10-01,,8500
JUTEM-01999,1000564/00/1,Business Micro Loan,13500,19.0,2025-11-01,Business,Lusaka,6,2025-11-01,,13500
JUTEM-02000,1000564/00/1,Business Micro Loan,3200,12.0,2025-11-01,Business,Lusaka,6,2025-11-01,,3200
JUTEM-02001,1000564/00/1,Business Micro Loan,16149,25.5,2025-12-01,Business,Lusaka,6,2025-12-01,,16149
JUTEM-02002,1000564/00/1,Business Micro Loan,16766.01,28.0,2026-01-01,Business,Lusaka,5,2026-01-01,,5588.67
JUTEM-02003,1000565/00/1,Business Micro Loan,15000,20.0,2025-09-01,Business,Lusaka,6,2025-09-01,,15000
JUTEM-02004,1000565/00/1,Business Micro Loan,7650,7.0,2025-09-01,Business,Lusaka,6,2025-09-01,,7650
JUTEM-02005,1000565/00/1,Business Micro Loan,25000,19.0,2025-10-01,Business,Lusaka,6,2025-10-01,,25000
JUTEM-02006,1000565/00/1,Business Micro Loan,24375,18.0,2025-12-01,Business,Lusaka,6,2025-12-01,,24375
JUTEM-02007,1000565/00/1,Business Micro Loan,20643,12.0,2026-02-01,Business,Lusaka,6,2026-02-01,,20643
JUTEM-02008,1000565/00/1,Business Micro Loan,18120,15.0,2026-03-01,Business,Lusaka,5,2026-03-01,,18120
JUTEM-02009,1000566/00/1,Business Micro Loan,25000,20.0,2025-05-01,Business,Lusaka,6,2025-05-01,,25000
JUTEM-02010,1000567/00/1,Business Micro Loan,10000,21.0,2025-04-01,Business,Lusaka,6,2025-04-01,,10000
JUTEM-02011,1000567/00/1,Business Micro Loan,25000,20.0,2025-06-01,Business,Lusaka,5,2025-06-01,,25000
JUTEM-02012,1000568/00/1,Business Micro Loan,7000,14.29,2024-07-01,Business,Lusaka,6,2024-07-01,,7000
JUTEM-02013,1000568/00/1,Business Micro Loan,15000,19.0,2024-09-01,Business,Lusaka,6,2024-09-01,,15000
JUTEM-02014,1000569/00/1,Business Micro Loan,100000,25.0,2024-11-01,Business,Lusaka,6,2024-11-01,,100000
JUTEM-02015,1000569/00/1,Business Micro Loan,200000,19.0,2025-01-01,Business,Lusaka,6,2025-01-01,,200000
JUTEM-02016,1000569/00/1,Business Micro Loan,250000,32.0,2025-03-01,Business,Lusaka,6,2025-03-01,,250000
JUTEM-02017,1000569/00/1,Business Micro Loan,325000,5.0,2025-04-01,Business,Lusaka,6,2025-04-01,,325000
JUTEM-02018,1000569/00/1,Business Micro Loan,400000,29.0,2025-05-01,Business,Lusaka,6,2025-05-01,,200000
JUTEM-02019,1000569/00/1,Business Micro Loan,60000,12.0,2025-05-01,Business,Lusaka,6,2025-05-01,,60000
JUTEM-02020,1000569/00/1,Business Micro Loan,326200,5.0,2025-06-01,Business,Lusaka,6,2025-06-01,,326200
JUTEM-02021,1000569/00/1,Business Micro Loan,330583.5,20.0,2025-08-01,Business,Lusaka,6,2025-08-01,,330583.5
JUTEM-02022,1000569/00/1,Business Micro Loan,5000,3.0,2025-08-01,Business,Lusaka,6,2025-08-01,,5000
JUTEM-02023,1000569/00/1,Business Micro Loan,330583.5,14.0,2025-09-01,Business,Lusaka,6,2025-09-01,,330583.5
